designation,period,provenience,museum_no,id_text
Akkadica 117 015 O.118,Old Babylonian,uncertain,MRAH O.0118,P200931
Akkadica 117 015 O.119,Old Babylonian,uncertain,MRAH O.0119,P200932
Akkadica 117 016 O.120,Old Babylonian,uncertain,MRAH O.120,P200933
"OIP 011, 105 + 109 + 148",Old Babylonian,Nippur,CBS 04803 + CBS 06591 + CBS 05962,P227953
"OIP 011, 030",Old Babylonian,Nippur,CBS 04805,P227955
CBS 04813 + CBS 06853,Old Babylonian,uncertain,CBS 04813 + CBS 06853,P227962
"OIP 011, p. 014, CBS 04826 (unpub. dup.)",Old Babylonian,Nippur,CBS 04826,P227972
"OIP 011, 096",Old Babylonian,Nippur,CBS 04846,P227988
N 2469,Old Babylonian,Nippur,N 2469,P228140
N 4541,Old Babylonian,Nippur,N 4541,P228267
N 5544,Old Babylonian,Nippur,N 5544,P228489
"BPOA 09, 257",Old Babylonian,Nippur,UM 29-16-541,P228766
UM 29-16-583,Old Babylonian,Nippur,UM 29-16-583,P228782
"PBS 11/1, 040",Old Babylonian,Nippur,CBS 05912 + N 4966,P228991
"TMH 11, 09",Old Babylonian,Nippur,HS 1607 + HS 2946,P229038
CBS 05873,Old Babylonian,uncertain,CBS 05873,P229160
"EEN 061, CBS 06098",Old Babylonian,Nippur,CBS 06098 + N 3960 + N 5128,P229166
CBS 06542,Old Babylonian,Nippur,CBS 06542,P229216
N 5350,Old Babylonian,Nippur,N 5350,P229278
"OIP 011, 249",Old Babylonian,Nippur,CBS 06527,P229318
"OIP 011, 225",Old Babylonian,Nippur,CBS 06530,P229326
A 33510,Old Babylonian,Nippur,A 33510,P229365
Ist Ni 03949,Old Babylonian,Nippur,Ist Ni 03949,P229384
CBS 15210,Old Babylonian,Nippur,CBS 15210,P229387
N 5248,Old Babylonian,Nippur,N 5248,P229411
CBS 15225,Old Babylonian,Nippur,CBS 15225,P229414
Ist Ni 03775,Old Babylonian,Nippur,Ist Ni 03775,P229428
"PBS 05, 128",Old Babylonian,Nippur,CBS 14006,P229443
A 30173,Old Babylonian,Nippur,A 30173,P229564
N 6041 + N 6049 + UM 29-16-195,Old Babylonian,Nippur,N 6041 + N 6049 + UM 29-16-195,P229567
N 4976,Old Babylonian,Nippur,N 4976,P229570
A 30214,Old Babylonian,Nippur,A 30214,P229573
UM 29-13-511,Old Babylonian,Nippur,UM 29-13-511,P229576
A 33416,Old Babylonian,Nippur,A 33416,P229582
UM 29-16-071,Old Babylonian,Nippur,UM 29-16-071,P229585
CBS 13637,Old Babylonian,Nippur,CBS 13637,P229588
N 6091,Old Babylonian,Nippur,N 6091,P229621
"OIP 011, 014",Old Babylonian,Nippur,CBS 06560,P229633
IM 058749,Old Babylonian,Nippur,IM 058749,P229642
N 5072,Old Babylonian,Nippur,N 5072,P229645
"OIP 011, 034",Old Babylonian,Nippur,CBS 06489,P229649
CBS 01593,Old Babylonian,Nippur,CBS 01593,P229669
"SP p. 37 pl. 22 WW, N 5863",Old Babylonian,Nippur,N 5863,P229699
"SP 162 pl. 41 M, CBS 13866",Old Babylonian,Nippur,CBS 13866,P229702
SP 168 pl. 61 EEE,Old Babylonian,Nippur,CBS 13609,P229711
"NABU 1994/091, CBS 06781",Old Babylonian,uncertain,CBS 06781,P229719
